continent;iso_code;location;Longitude;Latitude;date;total_cases;new_cases;total_deaths;new_deaths;total_tests;new_tests;positives;negatives;realized;not_confirmed;Active_cases;Recovered;Confirmed;hospitalized;population;gdp_per_capita;Nombre;descripcion;url;nombre;descripcion;url ;median_age;aged_65_older;aged_70_older
Europe;ALB;Albania;19.8166667;41.3333333;31/03/2020;223;11;12;2;;;;;;;176;52;243;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-41;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;01/04/2020;243;20;15;3;;;;;;;177;67;259;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-42;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;02/04/2020;259;16;15;0;;;;;;;185;76;277;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-43;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;03/04/2020;277;18;16;1;;;;;;;198;89;304;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-44;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;04/04/2020;304;27;17;1;;;;;;;214;99;333;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-45;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;05/04/2020;333;29;19;2;;;;;;;237;104;361;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-46;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;06/04/2020;361;28;21;2;;;;;;;240;116;377;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-47;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;07/04/2020;377;16;22;1;;;;;;;230;131;383;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-48;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;08/04/2020;383;6;22;0;;;;;;;224;154;400;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-49;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;09/04/2020;400;17;22;0;;;;;;;221;165;409;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-50;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;10/04/2020;409;9;23;1;;;;;;;211;182;416;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-51;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;11/04/2020;416;7;23;0;;;;;;;213;197;433;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-52;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;12/04/2020;433;17;23;0;;;;;;;206;217;446;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-53;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
Europe;ALB;Albania;19.8166667;41.3333333;13/04/2020;446;13;23;0;;;;;;;212;232;467;0;2877800;11803431;Our World Data; Información sobre casos confirmados, muertes y pruebas, así como otras variables de interés potencial;https://ourworldindata.org/coronavirus;CSSEGISandData/COVID-54;Información sobre datos de casos confirmados de COVID-19 en paises Europeos;https://github.com/CSSEGISandData/COVID-19/blob/master/csse_covid_19_data/csse_covid_19_time_series/time_series_covid19_confirmed_global.csv;38;13,188;8,643
